"GEO_ID","NAME","P1_001N","P1_001NA",
"Geography","Geographic Area Name"," !!Total","Annotation of  !!Total",
"1400000US26099230700","Census Tract 2307; Macomb County; Michigan","5259","null",
"1400000US26099230800","Census Tract 2308; Macomb County; Michigan","5152","null",
"1400000US26099230901","Census Tract 2309.01; Macomb County; Michigan","4544","null",
"1400000US26099230902","Census Tract 2309.02; Macomb County; Michigan","2966","null",
"1400000US26099231000","Census Tract 2310; Macomb County; Michigan","4303","null",
"1400000US26099231100","Census Tract 2311; Macomb County; Michigan","3697","null",
"1400000US26099231200","Census Tract 2312; Macomb County; Michigan","3985","null",
"1400000US26099231400","Census Tract 2314; Macomb County; Michigan","5895","null",
"1400000US26099231500","Census Tract 2315; Macomb County; Michigan","5413","null",
"1400000US26099231600","Census Tract 2316; Macomb County; Michigan","4966","null",
"1400000US26099231700","Census Tract 2317; Macomb County; Michigan","6387","null",
"1400000US26099231800","Census Tract 2318; Macomb County; Michigan","4371","null",
"1400000US26099231900","Census Tract 2319; Macomb County; Michigan","6010","null",
"1400000US26099232000","Census Tract 2320; Macomb County; Michigan","2356","null",
"1400000US26099232100","Census Tract 2321; Macomb County; Michigan","6361","null",
"1400000US26099232200","Census Tract 2322; Macomb County; Michigan","5401","null",
"1400000US26099232301","Census Tract 2323.01; Macomb County; Michigan","4874","null",
"1400000US26099232400","Census Tract 2324; Macomb County; Michigan","5752","null",
"1400000US26099232500","Census Tract 2325; Macomb County; Michigan","4693","null",
"1400000US26099233000","Census Tract 2330; Macomb County; Michigan","5747","null",
"1400000US26099240000","Census Tract 2400; Macomb County; Michigan","4554","null",
"1400000US26099240300","Census Tract 2403; Macomb County; Michigan","4102","null",
"1400000US26099240400","Census Tract 2404; Macomb County; Michigan","5415","null",
"1400000US26099240500","Census Tract 2405; Macomb County; Michigan","2427","null",
"1400000US26099240601","Census Tract 2406.01; Macomb County; Michigan","3508","null",
"1400000US26099240602","Census Tract 2406.02; Macomb County; Michigan","3408","null",
"1400000US26099240700","Census Tract 2407; Macomb County; Michigan","4277","null",
"1400000US26099240801","Census Tract 2408.01; Macomb County; Michigan","1451","null",
"1400000US26099240802","Census Tract 2408.02; Macomb County; Michigan","5102","null",
"1400000US26099240900","Census Tract 2409; Macomb County; Michigan","1834","null",
"1400000US26099241000","Census Tract 2410; Macomb County; Michigan","4536","null",
"1400000US26099241200","Census Tract 2412; Macomb County; Michigan","4695","null",
"1400000US26099241300","Census Tract 2413; Macomb County; Michigan","2594","null",
"1400000US26099241400","Census Tract 2414; Macomb County; Michigan","3182","null",
"1400000US26099241500","Census Tract 2415; Macomb County; Michigan","3537","null",
"1400000US26099241600","Census Tract 2416; Macomb County; Michigan","2591","null",
"1400000US26099241700","Census Tract 2417; Macomb County; Michigan","4667","null",
"1400000US26099241800","Census Tract 2418; Macomb County; Michigan","5296","null",
"1400000US26099241900","Census Tract 2419; Macomb County; Michigan","4879","null",
"1400000US26099242001","Census Tract 2420.01; Macomb County; Michigan","1265","null",
"1400000US26099242002","Census Tract 2420.02; Macomb County; Michigan","1445","null",
"1400000US26099242003","Census Tract 2420.03; Macomb County; Michigan","2418","null",
"1400000US26099242100","Census Tract 2421; Macomb County; Michigan","2549","null",
"1400000US26099242500","Census Tract 2425; Macomb County; Michigan","6895","null",
"1400000US26099243000","Census Tract 2430; Macomb County; Michigan","4662","null",
"1400000US26099243501","Census Tract 2435.01; Macomb County; Michigan","2608","null",
"1400000US26099243502","Census Tract 2435.02; Macomb County; Michigan","4048","null",
"1400000US26099244000","Census Tract 2440; Macomb County; Michigan","2568","null",
"1400000US26099245000","Census Tract 2450; Macomb County; Michigan","3427","null",
"1400000US26099245100","Census Tract 2451; Macomb County; Michigan","3891","null",
"1400000US26099245200","Census Tract 2452; Macomb County; Michigan","2301","null",
"1400000US26099245300","Census Tract 2453; Macomb County; Michigan","4530","null",
"1400000US26099245400","Census Tract 2454; Macomb County; Michigan","1548","null",
"1400000US26099247100","Census Tract 2471; Macomb County; Michigan","833","null",
"1400000US26099247201","Census Tract 2472.01; Macomb County; Michigan","4104","null",
"1400000US26099247202","Census Tract 2472.02; Macomb County; Michigan","2820","null",
"1400000US26099247301","Census Tract 2473.01; Macomb County; Michigan","4682","null",
"1400000US26099247302","Census Tract 2473.02; Macomb County; Michigan","1671","null",
"1400000US26099247400","Census Tract 2474; Macomb County; Michigan","2205","null",
"1400000US26099247500","Census Tract 2475; Macomb County; Michigan","1763","null",
"1400000US26099247601","Census Tract 2476.01; Macomb County; Michigan","1682","null",
"1400000US26099247602","Census Tract 2476.02; Macomb County; Michigan","4552","null",
"1400000US26099250000","Census Tract 2500; Macomb County; Michigan","2176","null",
"1400000US26099250100","Census Tract 2501; Macomb County; Michigan","2087","null",
"1400000US26099250200","Census Tract 2502; Macomb County; Michigan","2654","null",
"1400000US26099250300","Census Tract 2503; Macomb County; Michigan","3096","null",
"1400000US26099250400","Census Tract 2504; Macomb County; Michigan","1402","null",
"1400000US26099250500","Census Tract 2505; Macomb County; Michigan","2120","null",
"1400000US26099250600","Census Tract 2506; Macomb County; Michigan","2823","null",
"1400000US26099250700","Census Tract 2507; Macomb County; Michigan","2943","null",
"1400000US26099250800","Census Tract 2508; Macomb County; Michigan","2865","null",
"1400000US26099250900","Census Tract 2509; Macomb County; Michigan","2403","null",
"1400000US26099251000","Census Tract 2510; Macomb County; Michigan","1639","null",
"1400000US26099251100","Census Tract 2511; Macomb County; Michigan","1967","null",
"1400000US26099251200","Census Tract 2512; Macomb County; Michigan","3294","null",
"1400000US26099251300","Census Tract 2513; Macomb County; Michigan","2310","null",
"1400000US26099251400","Census Tract 2514; Macomb County; Michigan","3065","null",
"1400000US26099251500","Census Tract 2515; Macomb County; Michigan","1762","null",
"1400000US26099251600","Census Tract 2516; Macomb County; Michigan","3163","null",
"1400000US26099251700","Census Tract 2517; Macomb County; Michigan","2745","null",
"1400000US26099251800","Census Tract 2518; Macomb County; Michigan","4231","null",
"1400000US26099251900","Census Tract 2519; Macomb County; Michigan","2825","null",
"1400000US26099252000","Census Tract 2520; Macomb County; Michigan","2475","null",
"1400000US26099252100","Census Tract 2521; Macomb County; Michigan","2159","null",
"1400000US26099252200","Census Tract 2522; Macomb County; Michigan","2747","null",
"1400000US26099254000","Census Tract 2540; Macomb County; Michigan","1663","null",
"1400000US26099254100","Census Tract 2541; Macomb County; Michigan","4307","null",
"1400000US26099254200","Census Tract 2542; Macomb County; Michigan","4467","null",
"1400000US26099254500","Census Tract 2545; Macomb County; Michigan","4289","null",
"1400000US26099255000","Census Tract 2550; Macomb County; Michigan","4446","null",
"1400000US26099255100","Census Tract 2551; Macomb County; Michigan","3109","null",
"1400000US26099255200","Census Tract 2552; Macomb County; Michigan","4009","null",
"1400000US26099255300","Census Tract 2553; Macomb County; Michigan","3922","null",
"1400000US26099255400","Census Tract 2554; Macomb County; Michigan","2674","null",
"1400000US26099255500","Census Tract 2555; Macomb County; Michigan","1616","null",
"1400000US26099255600","Census Tract 2556; Macomb County; Michigan","3311","null",
"1400000US26099255700","Census Tract 2557; Macomb County; Michigan","1797","null",
"1400000US26099255800","Census Tract 2558; Macomb County; Michigan","2530","null",
"1400000US26099255900","Census Tract 2559; Macomb County; Michigan","1759","null",
"1400000US26099256000","Census Tract 2560; Macomb County; Michigan","2108","null",
"1400000US26099256100","Census Tract 2561; Macomb County; Michigan","2684","null",
"1400000US26099256200","Census Tract 2562; Macomb County; Michigan","1853","null",
"1400000US26099256300","Census Tract 2563; Macomb County; Michigan","1927","null",
"1400000US26099256400","Census Tract 2564; Macomb County; Michigan","1441","null",
"1400000US26099256500","Census Tract 2565; Macomb County; Michigan","1631","null",
"1400000US26099256600","Census Tract 2566; Macomb County; Michigan","3244","null",
"1400000US26099256700","Census Tract 2567; Macomb County; Michigan","1793","null",
"1400000US26099256800","Census Tract 2568; Macomb County; Michigan","1856","null",
"1400000US26099258000","Census Tract 2580; Macomb County; Michigan","2699","null",
"1400000US26099258100","Census Tract 2581; Macomb County; Michigan","3874","null",
"1400000US26099258200","Census Tract 2582; Macomb County; Michigan","3064","null",
"1400000US26099258300","Census Tract 2583; Macomb County; Michigan","2708","null",
"1400000US26099258400","Census Tract 2584; Macomb County; Michigan","5358","null",
"1400000US26099258500","Census Tract 2585; Macomb County; Michigan","1986","null",
"1400000US26099258600","Census Tract 2586; Macomb County; Michigan","4814","null",
"1400000US26099258700","Census Tract 2587; Macomb County; Michigan","2749","null",
"1400000US26099258800","Census Tract 2588; Macomb County; Michigan","4015","null",
"1400000US26099258900","Census Tract 2589; Macomb County; Michigan","3051","null",
"1400000US26099260000","Census Tract 2600; Macomb County; Michigan","3320","null",
"1400000US26099260100","Census Tract 2601; Macomb County; Michigan","2963","null",
"1400000US26099260200","Census Tract 2602; Macomb County; Michigan","2320","null",
"1400000US26099260300","Census Tract 2603; Macomb County; Michigan","3038","null",
"1400000US26099260400","Census Tract 2604; Macomb County; Michigan","4454","null",
"1400000US26099260600","Census Tract 2606; Macomb County; Michigan","2860","null",
"1400000US26099260700","Census Tract 2607; Macomb County; Michigan","2941","null",
"1400000US26099260800","Census Tract 2608; Macomb County; Michigan","2719","null",
"1400000US26099260900","Census Tract 2609; Macomb County; Michigan","4846","null",
"1400000US26099261000","Census Tract 2610; Macomb County; Michigan","4201","null",
"1400000US26099261100","Census Tract 2611; Macomb County; Michigan","5337","null",
"1400000US26099261200","Census Tract 2612; Macomb County; Michigan","2833","null",
"1400000US26099261300","Census Tract 2613; Macomb County; Michigan","2862","null",
"1400000US26099261400","Census Tract 2614; Macomb County; Michigan","2772","null",
"1400000US26099261500","Census Tract 2615; Macomb County; Michigan","3512","null",
"1400000US26099261601","Census Tract 2616.01; Macomb County; Michigan","1369","null",
"1400000US26099261700","Census Tract 2617; Macomb County; Michigan","2330","null",
"1400000US26099261800","Census Tract 2618; Macomb County; Michigan","2901","null",
"1400000US26099261900","Census Tract 2619; Macomb County; Michigan","2946","null",
"1400000US26099262000","Census Tract 2620; Macomb County; Michigan","3470","null",
"1400000US26099262100","Census Tract 2621; Macomb County; Michigan","942","null",
"1400000US26099262200","Census Tract 2622; Macomb County; Michigan","4439","null",
